test_index,gradcam_correlation
194,0.17164928536083748
157,0.28531633880940854
225,-0.18534422583854746
208,0.22650059872555775
319,0.8802546711945487
335,0.13123431470221109
320,-0.2678140379022106
261,0.9431758053785413
114,0.7515813403683158
220,0.8581307075890954
311,0.2026375928539797
104,0.21364669105402137
42,0.710614055624277
90,0.4458643069469857
301,0.9268695568921937
63,0.31367198540171715
110,-0.19848951615241342
224,0.1875138603046117
334,0.430442417369591
75,0.6775496448413053
137,0.8579134419783021
25,0.32852439240955933
268,0.4407732349993475
9,0.22899167402652162
153,-0.2639454542443747
180,0.9389804249954412
109,-0.06693299893872064
183,-0.10657090872376483
148,0.825529569298589
158,0.7818566174832526
